id,codigo,descripcion
catalogos.cie1,A000,"OTROS"
catalogos.cie2,A000,"A000 COLERA DEBIDO A VIBRIO CHOLERAE O1, BIOTIPO CHOLERAE"
catalogos.cie3,A001,"A001 COLERA DEBIDO A VIBRIO CHOLERAE O1, BIOTIPO EL TOR"
catalogos.cie4,A009,A009 COLERA NO ESPECIFICADO
catalogos.cie5,A010,A010 FIEBRE TIFOIDEA
catalogos.cie6,A011,A011 FIEBRE PARATIFOIDEA A
catalogos.cie7,A012,A012 FIEBRE PARATIFOIDEA B
catalogos.cie8,A013,A013 FIEBRE PARATIFOIDEA C
catalogos.cie9,A014,"A014 FIEBRE PARATIFOIDEA, NO ESPECIFICADA"
catalogos.cie10,A020,A020 ENTERITIS DEBIDA A SALMONELLA
catalogos.cie11,A021,A021 SEPTICEMIA DEBIDA A SALMONELLA
catalogos.cie12,A022,A022 INFECCIONES LOCALIZADAS DEBIDA A SALMONELLA
catalogos.cie13,A028,A028 OTRAS INFECCIONES ESPECIFICADAS COMO DEBIDAS A SALMONELLA
catalogos.cie14,A029,A029 INFECCIÓN DEBIDA A SALMONELLA NO ESPECIFICADA
catalogos.cie15,A030,A030 SHIGELOSIS DEBIDA A SHIGELLA DYSENTERIAE
catalogos.cie16,A031,A031 SHIGELOSIS DEBIDA A SHIGELLA FLEXNERI
catalogos.cie17,A032,A032 SHIGELOSIS DEBIDA A SHIGELLA BOYDII
catalogos.cie18,A033,A033 SHIGELOSIS DEBIDA A SHIGELLA SONNEI
catalogos.cie19,A038,A038 OTRAS SHIGELOSIS
catalogos.cie20,A039,A039 SHIGELOSIS DE TIPO NO ESPECIFICADO
catalogos.cie21,A040,A040 INFECCION DEBIDA A ESCHERICHIA COLI ENTEROPATOGENA
catalogos.cie22,A041,A041 INFECCION DEBIDA A ESCHERICHIA COLI ENTEROTOXIGENA
catalogos.cie23,A042,A042 INFECCION DEBIDA A ESCHERICHIA COLI ENTEROINVASIVA
catalogos.cie24,A043,A043 INFECCION DEBIDA A ESCHERICHIA COLI ENTEROHEMORRAGICA
catalogos.cie25,A044,A044 OTRAS INFECCIONES INTESTINALES DEBIDAS A ESCHERICHIA COLI
catalogos.cie26,A045,A045 ENTERITIS DEBIDA A CAMPYLOBACTER
catalogos.cie27,A046,A046 ENTERITIS DEBIDA A YERSINIA ENTEROCOLITICA
catalogos.cie28,A047,A047 ENTEROCOLITIS DEBIDA A CLOSTRIDIUM DIFFICILE
catalogos.cie29,A048,A048 OTRAS INFECCIONES INTESTINALES BACTERIANAS ESPECIFICADAS
catalogos.cie30,A049,"A049 INFECCION INTESTINAL BACTERIANA, NO ESPECIFICADA"
catalogos.cie31,A050,A050 INTOXICACION ALIMENTARIA ESTAFILOCOCICA
catalogos.cie32,A051,A051 BOTULISMO
catalogos.cie33,A052,A052 INTOXICACION ALIMENTARIA DEBIDA A CLOSTRIDIUM PERFRINGENS [CLOSTRIDIUM WELCHII]
catalogos.cie34,A053,A053 INTOXICACION ALIMENTARIA DEBIDA A VIBRIO PARAHAEMOLYTICUS
catalogos.cie35,A054,A054 INTOXICACION ALIMENTARIA DEBIDA A BACILLUS CEREUS
catalogos.cie36,A058,A058 OTRAS INTOXICACIONES ALIMENTARIAS DEBIDAS A BACTERIAS ESPECIFICADAS
catalogos.cie37,A059,"A059 INTOXICACION ALIMENTARIA BACTERIANA, NO ESPECIFICADA"
catalogos.cie38,A060,A060 DISENTERIA AMEBIANA AGUDA
catalogos.cie39,A061,A061 AMEBIASIS INTESTINAL CRONICA
catalogos.cie40,A062,A062 COLITIS AMEBIANA NO DISENTERICA
catalogos.cie41,A063,A063 AMEBOMA INTESTINAL
catalogos.cie42,A064,A064 ABSCESO AMEBIANO DEL HIGADO
catalogos.cie43,A065†,A065† ABSCESO AMEBIANO DEL PULMON (J99.8*)
catalogos.cie44,A066†,A066† ABSCESO AMEBIANO DEL CEREBRO (G07*)
catalogos.cie45,A067,A067 AMEBIASIS CUTANEA
catalogos.cie46,A068,A068 INFECCION AMEBIANA DE OTRAS LOCALIZACIONES
catalogos.cie47,A069,"A069 AMEBIASIS, NO ESPECIFICADA"
catalogos.cie48,A070,A070 BALANTIDIASIS
catalogos.cie49,A071,A071 GIARDIASIS [LAMBLIASIS]
catalogos.cie50,A072,A072 CRIPTOSPORIDIOSIS
catalogos.cie51,A073,A073 ISOSPORIASIS
catalogos.cie52,A078,A078 OTRAS ENFERMEDADES INTESTINALES ESPECIFICADAS DEBIDAS A PROTOZOARIOS
catalogos.cie53,A079,"A079 ENFERMEDAD INTESTINAL DEBIDA A PROTOZOARIOS, NO ESPECIFICADA"
catalogos.cie54,A080,A080 ENTERITIS DEBIDA A ROTAVIRUS
catalogos.cie55,A081,A081 GASTROENTEROPATIA AGUDA DEBIDA AL AGENTE DE NORWALK
catalogos.cie56,A082,A082 ENTERITIS DEBIDA A ADENOVIRUS
catalogos.cie57,A083,A083 OTRAS ENTERITIS VIRALES
catalogos.cie58,A084,"A084 INFECCION INTESTINAL VIRAL, SIN OTRA ESPECIFICACION"
catalogos.cie59,A085,A085 OTRAS INFECCIONES INTESTINALES ESPECIFICADAS
catalogos.cie60,A09,A09 DIARREA Y GASTROENTERITIS DE PRESUNTO ORIGEN INFECCIOSO
catalogos.cie61,A150,"A150 TUBERCULOSIS DEL PULMON, CONFIRMADA POR HALLAZGO MICROSCOPICO DEL BACILO TUBERCULOSO EN ESPUTO, CON O SIN CULTIVO"
catalogos.cie62,A151,"A151 TUBERCULOSIS DEL PULMON, CONFIRMADA UNICAMENTE POR CULTIVO"
catalogos.cie63,A152,"A152 TUBERCULOSIS DEL PULMON, CONFIRMADA HISTOLOGICAMENTE"
catalogos.cie64,A153,"A153 TUBERCULOSIS DEL PULMON , CONFIRMADA POR MEDIOS NO ESPECIFICADOS"
catalogos.cie65,A154,"A154 TUBERCULOSIS DE GANGLIOS LINFATICOS INTRATORACICOS, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE"
catalogos.cie66,A155,"A155 TUBERCULOSIS DE LARINGE, TRAQUEA Y BRONQUIOS, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE"
catalogos.cie67,A156,"A156 PLEURESIA TUBERCULOSA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE"
catalogos.cie68,A157,"A157 TUBERCULOSIS RESPIRATORIA PRIMARIA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE"
catalogos.cie69,A158,"A158 OTRAS TUBERCULOSIS RESPIRATORIAS, CONFIRMADAS BACTERIOLOGICA E HISTOLOGICAMENTE"
catalogos.cie70,A159,"A159 TUBERCULOSIS RESPIRATORIA NO ESPECIFICADA, CONFIRMADA BACTERIOLOGICAMENTE E HISTOLOGICAMENTE"
catalogos.cie71,A160,"A160 TUBERCULOSIS DEL PULMON, CON EXAMEN BACTERIOLOGICO E HISTOLOGICO NEGATIVOS"
catalogos.cie72,A161,"A161 TUBERCULOSIS DEL PULMON, SIN EXAMEN BACTERIOLOGICO E HISTOLOGICO"
catalogos.cie73,A162,"A162 TUBERCULOSIS DE PULMON, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA"
catalogos.cie74,A163,"A163 TUBERCULOSIS DE GANGLIOS LINFATICOS INTRATORACICOS, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA"
catalogos.cie75,A164,"A164 TUBERCULOSIS DE LARINGE, TRAQUEA Y BRONQUIOS, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA"
catalogos.cie76,A165,"A165 PLEURESIA TUBERCULOSA, SIN MENCION DE CONFIRMACION BACTERIOLOGICA E HISTOLOGICA"
catalogos.cie77,A167,"A167 TUBERCULOSIS RESPIRATORIA PRIMARIA, SIN MENCION DE CONFIRMACION BACTERIOLOGICA E HISTOLOGICA"
catalogos.cie78,A168,"A168 OTRAS TUBERCULOSIS RESPIRATORIAS, SIN MENCION DE CONFIRMACION"
catalogos.cie79,A169,"A169 TUBERCULOSIS RESPIRATORIA NO ESPECIFICADA, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA"
catalogos.cie80,A170†,A170† MENINGITIS TUBERCULOSA (G01*)
catalogos.cie81,A171†,A171† TUBERCULOMA MENINGEO (G07*)
catalogos.cie82,A178†,A178† OTRAS TUBERCULOSIS DEL SISTEMA NERVIOSO
catalogos.cie83,A179†,"A179† TUBERCULOSIS DEL SISTEMA NERVIOSO, NO ESPECIFICADA (G99.8*)"
catalogos.cie84,A180†,A180† TUBERCULOSIS DE HUESOS Y ARTICULACIONES
catalogos.cie85,A181,A181 TUBERCULOSIS DEL APARATO GENITOURINARIO
catalogos.cie86,A182,A182 LINFADENOPATIA PERIFERICA TUBERCULOSA
catalogos.cie87,A183,"A183 TUBERCULOSIS DE LOS INTESTINOS, EL PERITONEO Y LOS GANGLIOS MESENTERICOS"
catalogos.cie88,A184,A184 TUBERCULOSIS DE LA PIEL Y EL TEJIDO SUBCUTANEO
catalogos.cie89,A185,A185 TUBERCULOSIS DEL OJO
catalogos.cie90,A186,A186 TUBERCULOSIS DEL OIDO
catalogos.cie91,A187†,A187† TUBERCULOSIS DE GLANDULAS SUPRARRENALES (E35.1*)
catalogos.cie92,A188,A188 TUBERCULOSIS DE OTROS ORGANOS ESPECIFICADOS
catalogos.cie93,A190,A190 TUBERCULOSIS MILIAR AGUDA DE UN SOLO SITIO ESPECIFICADO
catalogos.cie94,A191,A191 TUBERCULOSIS MILIAR AGUDA DE SITIOS MULTIPLES
catalogos.cie95,A192,"A192 TUBERCULOSIS MILIAR AGUDA, NO ESPECIFICADA"
catalogos.cie96,A198,A198 OTRAS TUBERCULOSIS MILIARES
catalogos.cie97,A199,"A199 TUBERCULOSIS MILIAR, SIN OTRA ESPECIFICACION"
catalogos.cie98,A200,A200 PESTE BUBONICA
catalogos.cie99,A201,A201 PESTE CELULOCUTANEA
catalogos.cie100,A202,A202 PESTE NEUMONICA
catalogos.cie101,A203,A203 MENINGITIS POR PESTE
